Experiment Number,ROB Size,IQ Size,LQ Size,SQ Size,Number of Physical Registers,CPU Fetch Width,Number of Cycles,Power
188,16,16,64,128,256,8,30432442,17.0638
189,16,16,64,128,512,2,30541480,7.80068
190,16,16,64,128,512,4,30574430,10.2338
191,16,16,64,128,512,6,29074213,12.939
192,16,16,64,128,512,8,30432442,18.7762
193,16,16,64,128,1024,2,30541480,8.00627
194,16,16,64,128,1024,4,30574430,11.3654
195,16,16,64,128,1024,6,29074213,17.9735
196,16,16,64,128,1024,8,30432442,135.344
197,16,16,64,128,2048,2,30541480,8.35788
198,16,16,64,128,2048,4,30574430,12.3575
199,16,16,64,256,64,2,30541480,7.09562
200,16,16,64,256,64,4,30574430,7.60647
201,16,16,64,256,64,6,29074213,8.39568
202,16,16,64,256,64,8,30432444,9.52151
203,16,16,64,256,128,2,30541480,7.12673
204,16,16,64,256,128,4,30574430,7.6817
205,16,16,64,256,128,6,29074213,8.53144
206,16,16,64,256,128,8,30432442,9.73821
207,16,16,64,256,256,2,30541480,7.1795
208,16,16,64,256,256,4,30574430,7.82285
209,16,16,64,256,256,6,29074213,12.0484
210,16,16,64,256,256,8,30432442,17.1036
211,16,16,64,256,512,2,30541480,7.84068
212,16,16,64,256,512,4,30574430,10.2738
213,16,16,64,256,512,6,29074213,12.9789
214,16,16,64,256,512,8,30432442,18.8162
215,16,16,64,256,1024,2,30541480,8.04638
216,16,16,64,256,1024,4,30574430,11.4055
217,16,16,64,256,1024,6,29074213,18.0135
218,16,16,64,256,1024,8,30432442,135.384
219,16,16,64,256,2048,2,30541480,8.39809
220,16,16,64,256,2048,4,30574430,12.3977
221,16,16,64,512,64,2,30541480,8.76781
222,16,16,64,512,64,4,30574430,9.2783
223,16,16,64,512,64,6,29074213,10.067
224,16,16,64,512,64,8,30432444,11.1922
225,16,16,64,512,128,2,30541480,8.80007
226,16,16,64,512,128,4,30574430,9.35464
227,16,16,64,512,128,6,29074213,10.2038
228,16,16,64,512,128,8,30432442,11.4098
229,16,16,64,512,256,2,30541480,8.85397
230,16,16,64,512,256,4,30574430,9.4968
231,16,16,64,512,256,6,29074213,13.7208
232,16,16,64,512,256,8,30432442,18.7748
233,16,16,64,512,512,2,30541480,9.51578
234,16,16,64,512,512,4,30574430,11.9478
235,16,16,64,512,512,6,29074213,14.652
236,16,16,64,512,512,8,30432442,20.4877
237,16,16,64,512,1024,2,30541480,9.72243
238,16,16,64,512,1024,4,30574430,13.0797
239,16,16,64,512,1024,6,29074213,19.6855
240,16,16,64,512,1024,8,30432442,137.05
241,16,16,64,512,2048,2,30541480,10.075
242,16,16,64,512,2048,4,30574430,14.0722
243,16,16,64,1024,64,2,30541480,8.99182
244,16,16,64,1024,64,4,30574430,9.50226
245,16,16,64,1024,64,6,29074213,10.2909
246,16,16,64,1024,64,8,30432444,11.416
247,16,16,64,1024,128,2,30541480,9.0243
248,16,16,64,1024,128,4,30574430,9.57881
249,16,16,64,1024,128,6,29074213,10.4279
250,16,16,64,1024,128,8,30432442,11.6338
251,16,16,64,1024,256,2,30541480,9.0784
252,16,16,64,1024,256,4,30574430,9.72116
253,16,16,64,1024,256,6,29074213,13.945
254,16,16,64,1024,256,8,30432442,18.9988
255,16,16,64,1024,512,2,30541480,9.74037
256,16,16,64,1024,512,4,30574430,12.1723
257,16,16,64,1024,512,6,29074213,14.8763
258,16,16,64,1024,512,8,30432442,20.7119
259,16,16,64,1024,1024,2,30541480,9.9472
260,16,16,64,1024,1024,4,30574430,13.3043
261,16,16,64,1024,1024,6,29074213,19.9098
262,16,16,64,1024,1024,8,30432442,137.274
263,16,16,64,1024,2048,2,30541480,10.2999
264,16,16,64,1024,2048,4,30574430,14.2969
265,16,16,128,16,64,2,30945082,7.03837
266,16,16,128,16,64,4,30612101,7.54923
267,16,16,128,16,64,6,29126851,8.33845
268,16,16,128,16,64,8,29738312,9.46431
269,16,16,128,16,128,2,30945082,7.06932
270,16,16,128,16,128,4,30612101,7.62431
271,16,16,128,16,128,6,29126849,8.47407
272,16,16,128,16,128,8,29761470,9.68086
273,16,16,128,16,256,2,30945082,7.12195
274,16,16,128,16,256,4,30612101,7.76531
275,16,16,128,16,256,6,29126849,11.9909
276,16,16,128,16,256,8,29761470,17.0462
277,16,16,128,16,512,2,30945082,7.783
278,16,16,128,16,512,4,30612101,10.2162
279,16,16,128,16,512,6,29126849,12.9213
280,16,16,128,16,512,8,29761470,18.7586
281,16,16,128,16,1024,2,30945082,7.98855
282,16,16,128,16,1024,4,30612101,11.3477
283,16,16,128,16,1024,6,29126849,17.9558
284,16,16,128,16,1024,8,29761470,135.327
285,16,16,128,16,2048,2,30945082,8.34013
286,16,16,128,16,2048,4,30612101,12.3398
287,16,16,128,64,64,2,30541480,7.05592
288,16,16,128,64,64,4,30574430,7.56678
289,16,16,128,64,64,6,29074213,8.356
290,16,16,128,64,64,8,30432444,9.48185
291,16,16,128,64,128,2,30541480,7.08692
292,16,16,128,64,128,4,30574430,7.6419
293,16,16,128,64,128,6,29074213,8.49165
294,16,16,128,64,128,8,30432442,9.69844
295,16,16,128,64,256,2,30541480,7.13958
296,16,16,128,64,256,4,30574430,7.78295
297,16,16,128,64,256,6,29074213,12.0085
298,16,16,128,64,256,8,30432442,17.0638
299,16,16,128,64,512,2,30541480,7.80068
300,16,16,128,64,512,4,30574430,10.2338
301,16,16,128,64,512,6,29074213,12.939
302,16,16,128,64,512,8,30432442,18.7762
303,16,16,128,64,1024,2,30541480,8.00627
304,16,16,128,64,1024,4,30574430,11.3654
305,16,16,128,64,1024,6,29074213,17.9735
306,16,16,128,64,1024,8,30432442,135.344
307,16,16,128,64,2048,2,30541480,8.35788
308,16,16,128,64,2048,4,30574430,12.3575
309,16,16,128,128,64,2,30541480,7.07653
310,16,16,128,128,64,4,30574430,7.58738
311,16,16,128,128,64,6,29074213,8.3766
312,16,16,128,128,64,8,30432444,9.50244
313,16,16,128,128,128,2,30541480,7.10758
314,16,16,128,128,128,4,30574430,7.66256
315,16,16,128,128,128,6,29074213,8.5123
316,16,16,128,128,128,8,30432442,9.71909
317,16,16,128,128,256,2,30541480,7.1603
318,16,16,128,128,256,4,30574430,7.80366
319,16,16,128,128,256,6,29074213,12.0292
320,16,16,128,128,256,8,30432442,17.0845
321,16,16,128,128,512,2,30541480,7.82144
322,16,16,128,128,512,4,30574430,10.2546
323,16,16,128,128,512,6,29074213,12.9597
324,16,16,128,128,512,8,30432442,18.797
325,16,16,128,128,1024,2,30541480,8.02708
326,16,16,128,128,1024,4,30574430,11.3862
327,16,16,128,128,1024,6,29074213,17.9942
328,16,16,128,128,1024,8,30432442,135.365
329,16,16,128,128,2048,2,30541480,8.37875
330,16,16,128,128,2048,4,30574430,12.3783
331,16,16,128,256,64,2,30541480,7.11623
332,16,16,128,256,64,4,30574430,7.62708
333,16,16,128,256,64,6,29074213,8.41628
334,16,16,128,256,64,8,30432444,9.5421
335,16,16,128,256,128,2,30541480,7.14739
336,16,16,128,256,128,4,30574430,7.70236
337,16,16,128,256,128,6,29074213,8.55209
338,16,16,128,256,128,8,30432442,9.75885
339,16,16,128,256,256,2,30541480,7.20021
340,16,16,128,256,256,4,30574430,7.84356
341,16,16,128,256,256,6,29074213,12.0691
342,16,16,128,256,256,8,30432442,17.1243
343,16,16,128,256,512,2,30541480,7.86145
344,16,16,128,256,512,4,30574430,10.2945
345,16,16,128,256,512,6,29074213,12.9997
346,16,16,128,256,512,8,30432442,18.8369
347,16,16,128,256,1024,2,30541480,8.06719
348,16,16,128,256,1024,4,30574430,11.4263
349,16,16,128,256,1024,6,29074213,18.0343
350,16,16,128,256,1024,8,30432442,135.405
351,16,16,128,256,2048,2,30541480,8.41895
352,16,16,128,256,2048,4,30574430,12.4185
353,16,16,128,512,64,2,30541480,8.7884
354,16,16,128,512,64,4,30574430,9.29888
355,16,16,128,512,64,6,29074213,10.0876
356,16,16,128,512,64,8,30432444,11.2128
357,16,16,128,512,128,2,30541480,8.82072
358,16,16,128,512,128,4,30574430,9.37527
359,16,16,128,512,128,6,29074213,10.2244
360,16,16,128,512,128,8,30432442,11.4305
361,16,16,128,512,256,2,30541480,8.87466
362,16,16,128,512,256,4,30574430,9.51749
363,16,16,128,512,256,6,29074213,13.7415
364,16,16,128,512,256,8,30432442,18.7955
365,16,16,128,512,512,2,30541480,9.53653
366,16,16,128,512,512,4,30574430,11.9686
367,16,16,128,512,512,6,29074213,14.6727
368,16,16,128,512,512,8,30432442,20.5085
369,16,16,128,512,1024,2,30541480,9.74322
370,16,16,128,512,1024,4,30574430,13.1005
371,16,16,128,512,1024,6,29074213,19.7063
372,16,16,128,512,1024,8,30432442,137.071
373,16,16,128,512,2048,2,30541480,10.0958
374,16,16,128,512,2048,4,30574430,14.0931
375,16,16,128,1024,64,2,30541480,9.01241
376,16,16,128,1024,64,4,30574430,9.52284
377,16,16,128,1024,64,6,29074213,10.3115
378,16,16,128,1024,64,8,30432444,11.4366
379,16,16,128,1024,128,2,30541480,9.04494
380,16,16,128,1024,128,4,30574430,9.59944
381,16,16,128,1024,128,6,29074213,10.4485
382,16,16,128,1024,128,8,30432442,11.6545
383,16,16,128,1024,256,2,30541480,9.09909
384,16,16,128,1024,256,4,30574430,9.74185
385,16,16,128,1024,256,6,29074213,13.9657
386,16,16,128,1024,256,8,30432442,19.0195
387,16,16,128,1024,512,2,30541480,9.76111
388,16,16,128,1024,512,4,30574430,12.193
389,16,16,128,1024,512,6,29074213,14.897
390,16,16,128,1024,512,8,30432442,20.7326
391,16,16,128,1024,1024,2,30541480,9.96799
392,16,16,128,1024,1024,4,30574430,13.325
393,16,16,128,1024,1024,6,29074213,19.9305
394,16,16,128,1024,1024,8,30432442,137.295
395,16,16,128,1024,2048,2,30541480,10.3207
396,16,16,128,1024,2048,4,30574430,14.3177
397,16,16,256,16,64,2,30945082,7.07807
398,16,16,256,16,64,4,30612101,7.58892
399,16,16,256,16,64,6,29126851,8.37813
400,16,16,256,16,64,8,29738312,9.50397
401,16,16,256,16,128,2,30945082,7.10913
402,16,16,256,16,128,4,30612101,7.66411
403,16,16,256,16,128,6,29126849,8.51385
404,16,16,256,16,128,8,29761470,9.72063
405,16,16,256,16,256,2,30945082,7.16186
406,16,16,256,16,256,4,30612101,7.80522
407,16,16,256,16,256,6,29126849,12.0308
408,16,16,256,16,256,8,29761470,17.086
409,16,16,256,16,512,2,30945082,7.82301
410,16,16,256,16,512,4,30612101,10.2561
411,16,16,256,16,512,6,29126849,12.9613
412,16,16,256,16,512,8,29761470,18.7985
413,16,16,256,16,1024,2,30945082,8.02866
414,16,16,256,16,1024,4,30612101,11.3878
415,16,16,256,16,1024,6,29126849,17.9958
416,16,16,256,16,1024,8,29761470,135.367
417,16,16,256,16,2048,2,30945082,8.38034
418,16,16,256,16,2048,4,30612101,12.3799
419,16,16,256,64,64,2,30541480,7.09562
420,16,16,256,64,64,4,30574430,7.60647
421,16,16,256,64,64,6,29074213,8.39568
422,16,16,256,64,64,8,30432444,9.52151
423,16,16,256,64,128,2,30541480,7.12673
424,16,16,256,64,128,4,30574430,7.6817
425,16,16,256,64,128,6,29074213,8.53144
426,16,16,256,64,128,8,30432442,9.73821
427,16,16,256,64,256,2,30541480,7.1795
428,16,16,256,64,256,4,30574430,7.82285
429,16,16,256,64,256,6,29074213,12.0484
430,16,16,256,64,256,8,30432442,17.1036
431,16,16,256,64,512,2,30541480,7.84068
432,16,16,256,64,512,4,30574430,10.2738
433,16,16,256,64,512,6,29074213,12.9789
434,16,16,256,64,512,8,30432442,18.8162
435,16,16,256,64,1024,2,30541480,8.04638
436,16,16,256,64,1024,4,30574430,11.4055
437,16,16,256,64,1024,6,29074213,18.0135
438,16,16,256,64,1024,8,30432442,135.384
439,16,16,256,64,2048,2,30541480,8.39809
440,16,16,256,64,2048,4,30574430,12.3977
441,16,16,256,128,64,2,30541480,7.11623
442,16,16,256,128,64,4,30574430,7.62708
443,16,16,256,128,64,6,29074213,8.41628
444,16,16,256,128,64,8,30432444,9.5421
445,16,16,256,128,128,2,30541480,7.14739
446,16,16,256,128,128,4,30574430,7.70236
447,16,16,256,128,128,6,29074213,8.55209
448,16,16,256,128,128,8,30432442,9.75885
449,16,16,256,128,256,2,30541480,7.20021
450,16,16,256,128,256,4,30574430,7.84356
451,16,16,256,128,256,6,29074213,12.0691
452,16,16,256,128,256,8,30432442,17.1243
453,16,16,256,128,512,2,30541480,7.86145
454,16,16,256,128,512,4,30574430,10.2945
455,16,16,256,128,512,6,29074213,12.9997
456,16,16,256,128,512,8,30432442,18.8369
457,16,16,256,128,1024,2,30541480,8.06719
458,16,16,256,128,1024,4,30574430,11.4263
459,16,16,256,128,1024,6,29074213,18.0343
460,16,16,256,128,1024,8,30432442,135.405
461,16,16,256,128,2048,2,30541480,8.41895
462,16,16,256,128,2048,4,30574430,12.4185
463,16,16,256,256,64,2,30541480,7.15593
464,16,16,256,256,64,4,30574430,7.66677
465,16,16,256,256,64,6,29074213,8.45595
466,16,16,256,256,64,8,30432444,9.58177
467,16,16,256,256,128,2,30541480,7.1872
468,16,16,256,256,128,4,30574430,7.74216
469,16,16,256,256,128,6,29074213,8.59187
470,16,16,256,256,128,8,30432442,9.79862
471,16,16,256,256,256,2,30541480,7.24012
472,16,16,256,256,256,4,30574430,7.88346
473,16,16,256,256,256,6,29074213,12.1089
474,16,16,256,256,256,8,30432442,17.1641
475,16,16,256,256,512,2,30541480,7.90145
476,16,16,256,256,512,4,30574430,10.3345
477,16,16,256,256,512,6,29074213,13.0396
478,16,16,256,256,512,8,30432442,18.8768
479,16,16,256,256,1024,2,30541480,8.1073
480,16,16,256,256,1024,4,30574430,11.4664
481,16,16,256,256,1024,6,29074213,18.0743
482,16,16,256,256,1024,8,30432442,135.445
483,16,16,256,256,2048,2,30541480,8.45916
484,16,16,256,256,2048,4,30574430,12.4586
485,16,16,256,512,64,2,30541480,8.82806
486,16,16,256,512,64,4,30574430,9.33853
487,16,16,256,512,64,6,29074213,10.1272
488,16,16,256,512,64,8,30432444,11.2524
489,16,16,256,512,128,2,30541480,8.86048
490,16,16,256,512,128,4,30574430,9.41503
491,16,16,256,512,128,6,29074213,10.2642
492,16,16,256,512,128,8,30432442,11.4702
493,16,16,256,512,256,2,30541480,8.91453
494,16,16,256,512,256,4,30574430,9.55735
495,16,16,256,512,256,6,29074213,13.7814
496,16,16,256,512,256,8,30432442,18.8353
497,16,16,256,512,512,2,30541480,9.57649
498,16,16,256,512,512,4,30574430,12.0085
499,16,16,256,512,512,6,29074213,14.7126
500,16,16,256,512,512,8,30432442,20.5484
501,16,16,256,512,1024,2,30541480,9.78329
502,16,16,256,512,1024,4,30574430,13.1405
503,16,16,256,512,1024,6,29074213,19.7463
504,16,16,256,512,1024,8,30432442,137.111
505,16,16,256,512,2048,2,30541480,10.136
506,16,16,256,512,2048,4,30574430,14.1332
507,16,16,256,1024,64,2,30541480,9.05206
508,16,16,256,1024,64,4,30574430,9.56249
509,16,16,256,1024,64,6,29074213,10.3511
510,16,16,256,1024,64,8,30432444,11.4762
